chapter no.	sentence index	character index	character	word segmentation index	aligned English word  index from character projection	aligned English word index from word projection	1st negation cue	1st negation scope	1st negation event	2nd negation cue	2nd negation scope	2nd negation event	3rd negation cue	3rd negation scope	3rd negation event	4th negation cue	4th negation scope	4th negation event	5th negation cue	5th negation scope	5th negation event
wisteria01	2	25	了	15	20	14	_	_	_												
wisteria01	2	26	回	16	17	18	_	_	_												
wisteria01	2	27	电	16		18	_	_	_												
wisteria01	2	28	。	17	18	18	_	_	_												
wisteria01	2	29	他	18	19	19	_	他	_												
wisteria01	2	30	一	19		23	_	一	_												
wisteria01	2	31	语	20	22		_	语	_												
wisteria01	2	32	未	21	21		未	_	_												
wisteria01	2	33	发	21	20		_	发	发												
wisteria01	2	34	，	22			_	_	_												
wisteria01	2	35	但	23	24	24	_	_	_												
wisteria01	2	36	是	23	24	24	_	_	_												
wisteria01	2	37	看	24	54		_	_	_												
wisteria01	2	38	来	24			_	_	_												
wisteria01	2	39	心	25	30	28	_	_	_												
wisteria01	2	40	中	25	28	28	_	_	_												
wisteria01	2	41	有	26			_	_	_												
wisteria01	2	42	事	26	26		_	_	_												
wisteria01	2	43	，	27			_	_	_												
wisteria01	2	44	因	28		33	_	_	_												
wisteria01	2	45	为	28	34	33	_	_	_												
wisteria01	2	46	他	29	29	33	_	_	_												
wisteria01	2	47	随	30	40	40	_	_	_												
wisteria01	2	48	后	30	40	40	_	_	_												
wisteria01	2	49	站	31		31	_	_	_												
wisteria01	2	50	在	31	35	31	_	_	_												
wisteria01	2	51	炉	32		39	_	_	_												
wisteria01	2	52	火	32	39	39	_	_	_												
wisteria01	2	53	前	33	36	36	_	_	_												
wisteria01	2	54	面	33		36	_	_	_												
wisteria01	2	55	，	34	41	41	_	_	_												
wisteria01	2	56	脸	35	44	44	_	_	_												
wisteria01	2	57	上	35	55	44	_	_	_												
wisteria01	2	58	现	36		45	_	_	_												
wisteria01	2	59	出	36		45	_	_	_												
wisteria01	2	60	沉	37		45	_	_	_												
wisteria01	2	61	思	37	43	45	_	_	_												
wisteria01	2	62	的	38		43	_	_	_												
wisteria01	2	63	神	39	45	47	_	_	_												
wisteria01	2	64	色	39		47	_	_	_												
wisteria01	2	65	，	40		46	_	_	_												
wisteria01	2	66	抽	41		49	_	_	_												
wisteria01	2	67	着	41		49	_	_	_												
wisteria01	2	68	烟	42	46	48	_	_	_												
wisteria01	2	69	斗	42	48	48	_	_	_												
wisteria01	2	70	，	43	51	51~~~52	_	_	_												
wisteria01	2	71	不	44		53	_	_	_												
wisteria01	2	72	时	44	5	53	_	_	_												
wisteria01	2	73	瞧	45	49	58	_	_	_												
wisteria01	2	74	着	45		58	_	_	_												
wisteria01	2	75	那	46		54	_	_	_												
wisteria01	2	76	份	47	52		_	_	_												
wisteria01	2	77	电	48	57	57	_	_	_												
wisteria01	2	78	报	48		57	_	_	_												
wisteria01	2	79	。	49			_	_	_												
																					
wisteria01	3	0	突	0	0	0	***														
wisteria01	3	1	然	0	0	0	***														
wisteria01	3	2	他	1	1	1	***														
wisteria01	3	3	转	2	2	2	***														
wisteria01	3	4	过	2		2	***														
wisteria01	3	5	身	3	3	2	***														
wisteria01	3	6	来	4			***														
wisteria01	3	7	对	5			***														
wisteria01	3	8	着	5	5		***														
wisteria01	3	9	我	6	4	4	***														
wisteria01	3	10	，	7	6~~~7	5~~~6	***														
wisteria01	3	11	眼	8	11	7	***														
wisteria01	3	12	里	8	11	7	***														
wisteria01	3	13	显	9		8	***														
wisteria01	3	14	出	9		8	***														
wisteria01	3	15	诡	10	8	8	***														
wisteria01	3	16	秘	10	10	8	***														
wisteria01	3	17	的	11	9	9	***														
wisteria01	3	18	神	12	11	10~~~11~~~12	***														
wisteria01	3	19	色	12	11	10~~~11~~~12	***														
wisteria01	3	20	。	13	12	12	***														
																					
wisteria01	4	0	“	0	0~~~3~~~5	0	***														
wisteria01	4	1	华	1	4	3~~~4~~~5	***														
wisteria01	4	2	生	1	4	3~~~4~~~5	***														
wisteria01	4	3	，	2			***														
wisteria01	4	4	我	3	1	1	***														
wisteria01	4	5	想	4	2	2	***														
wisteria01	4	6	，	5			***														
wisteria01	4	7	我	6	6	6	***														
wisteria01	4	8	们	6	6	6	***														
wisteria01	4	9	必	7	7	7	***														
wisteria01	4	10	须	7	7	7	***														
wisteria01	4	11	把	8	9	9	***														
wisteria01	4	12	你	9	10	10	***														
wisteria01	4	13	看	10	8	11	***														
wisteria01	4	14	作	10	11	11	***														
wisteria01	4	15	是	11		12	***														
wisteria01	4	16	一	12	12	16	***														
wisteria01	4	17	位	13		13~~~14~~~16	***														
wisteria01	4	18	文	14	14~~~15	15	***														
wisteria01	4	19	学	14		15	***														
wisteria01	4	20	家	14		15	***														
wisteria01	4	21	，	15			***														
wisteria01	4	22	”	16	16~~~17~~~20	17~~~20	***														
wisteria01	4	23	他	17	19	19	***														
wisteria01	4	24	说	18	18	18	***														
wisteria01	4	25	。	19			***														
																					
wisteria01	5	0	“	0	0~~~1	0	***														
wisteria01	5	1	'	1	7	7	***														
wisteria01	5	2	'	2	7	7	***														
wisteria01	5	3	怪	3	8	8	***														
wisteria01	5	4	诞	3	8	8	***														
wisteria01	5	5	'	4	7	7	***														
wisteria01	5	6	'	5	7	7	***														
wisteria01	5	7	这	6	2	5	***														
wisteria01	5	8	个	6	5	5	***														
wisteria01	5	9	词	7	6	4~~~6	***														
wisteria01	5	10	你	8	3	3	***														
wisteria01	5	11	怎	9		1	***														
wisteria01	5	12	么	9		1	***														
wisteria01	5	13	解	10			***														
wisteria01	5	14	释	10			***														
wisteria01	5	15	的	11			***														
wisteria01	5	16	？	12	10	10	***														
wisteria01	5	17	”	13	9~~~11	9~~~11	***														
																					
wisteria01	6	0	“	0	0	0	***														
wisteria01	6	1	奇	1	1	1	***														
wisteria01	6	2	怪	1	1~~~3	1	***														
wisteria01	6	3	—	2	1~~~2	1~~~2~~~4	***														
wisteria01	6	4	—	2	1	1~~~2~~~4	***														
wisteria01	6	5	异	3	3	3	***														
wisteria01	6	6	常	3	3	3	***														
wisteria01	6	7	，	4	4	4	***														
wisteria01	6	8	”	5	5	5	***														
wisteria01	6	9	我	6	6	6	***														
wisteria01	6	10	回	7		7~~~8	***														
wisteria01	6	11	答	7	8	7~~~8	***														
wisteria01	6	12	。	8		8	***														
																					
wisteria01	7	0	他	0	0	0	***														
wisteria01	7	1	对	1	2	2	***														
wisteria01	7	2	我	2	5	5	***														
wisteria01	7	3	的	3	4	3~~~4	***														
wisteria01	7	4	定	4	6		***														
wisteria01	7	5	义	4	6		***														
wisteria01	7	6	摇	5	1		***														
wisteria01	7	7	了	6	1	1	***														
wisteria01	7	8	摇	7	1	6~~~7	***														
wisteria01	7	9	头	7	3	6~~~7	***														
wisteria01	7	10	。	8	7	7	***														
																					
wisteria01	8	0	“	0	0~~~1	0~~~1	***														
wisteria01	8	1	肯	1	3	3~~~4	***														
wisteria01	8	2	定	1	3	3~~~4	***														
wisteria01	8	3	具	2	5	2	***														
wisteria01	8	4	有	2	4	2	***														
wisteria01	8	5	更	3	5	5	***														
wisteria01	8	6	多	4	5~~~6	5~~~6	***														
wisteria01	8	7	的	5	17	15	***														
wisteria01	8	8	含	6	15	16	***														
wisteria01	8	9	义	6		16	***														
wisteria01	8	10	，	7	18	14	***														
wisteria01	8	11	”	8	9	9	***														
wisteria01	8	12	他	9	11	11	***														
wisteria01	8	13	说	10	10	10	***														
wisteria01	8	14	。	11		23	***														
wisteria01	8	15	“	12	13	13	***														
wisteria01	8	16	实	13	30	37	***														
wisteria01	8	17	质	13	26	37	***														
wisteria01	8	18	上	13	29	37	***														
wisteria01	8	19	还	14		38	***														
wisteria01	8	20	含	15	36	35	***														
wisteria01	8	21	有	15	35	35	***														
wisteria01	8	22	悲	16	19	19	***														
wisteria01	8	23	惨	16	19	19	***														
wisteria01	8	24	和	17	20	42	***														
wisteria01	8	25	可	18	22	22	***														
wisteria01	8	26	怕	18	22	22	***														
wisteria01	8	27	这	19	33	36	***														
wisteria01	8	28	一	20	31	43	***														
wisteria01	8	29	层	21	53	50	***														
wisteria01	8	30	意	22	27	46	***														
wisteria01	8	31	思	22	28	46	***														
wisteria01	8	32	。	23	55	55~~~56	***														
																					
wisteria01	9	0	如	0		0	***														
wisteria01	9	1	果	0		0	***														
wisteria01	9	2	回	1		0	***														
wisteria01	9	3	想	1	0	0	***														
wisteria01	9	4	一	2		0	***														
wisteria01	9	5	下	2	6	0	***														
wisteria01	9	6	你	3		0	***														
wisteria01	9	7	那	4		0	***														
wisteria01	9	8	些	4		0	***														
wisteria01	9	9	长	5		1	***														
wisteria01	9	10	期	5		1	***														
wisteria01	9	11	折	6		0	***														
wisteria01	9	12	磨	6		0	***														
wisteria01	9	13	公	7		3	***														
wisteria01	9	14	众	7		3	***														
wisteria01	9	15	的	8		1	***														
wisteria01	9	16	文	9			***														
wisteria01	9	17	章	9	1		***														
wisteria01	9	18	，	10	2	2	***														
wisteria01	9	19	你	11			***														
wisteria01	9	20	就	12			***														
wisteria01	9	21	会	13			***														
wisteria01	9	22	认	14			***														
wisteria01	9	23	识	14			***														
wisteria01	9	24	到	15			***														
wisteria01	9	25	'	16			***														
wisteria01	9	26	'	17			***														
wisteria01	9	27	怪	18	3	4	***														
wisteria01	9	28	诞	18	4	4	***														
wisteria01	9	29	'	19	7	7	***														
wisteria01	9	30	'	20	7	7	***														
wisteria01	9	31	这	21			***														
wisteria01	9	32	个	21			***														
wisteria01	9	33	词	22		7	***														
wisteria01	9	34	的	23	5	6	***														
wisteria01	9	35	深	24		7	***														
wisteria01	9	36	一	25		7	***														
wisteria01	9	37	层	26		7	***														
wisteria01	9	38	的	27		6	***														
wisteria01	9	39	意	28		7	***														
wisteria01	9	40	思	28	8	7	***														
wisteria01	9	41	往	29		7~~~8	***														
wisteria01	9	42	往	29		7~~~8	***														
wisteria01	9	43	就	30		7	***														
wisteria01	9	44	是	31			***														
wisteria01	9	45	犯	32			***														
wisteria01	9	46	罪	32			***														
wisteria01	9	47	。	33	9	9	***														
																					
wisteria01	10	0	想	0	2		***														
wisteria01	10	1	一	1	0~~~1	1	***														
wisteria01	10	2	想	2	2		***														
wisteria01	10	3	'	3	2		***														
wisteria01	10	4	'	4	2		***														
wisteria01	10	5	红	5			***														
wisteria01	10	6	发	5			***														
wisteria01	10	7	会	6			***														
wisteria01	10	8	'	7		4	***														
wisteria01	10	9	'	8			***														
wisteria01	10	10	那	9	3	7	***														
wisteria01	10	11	件	10		7	***														
wisteria01	10	12	事	11	5	7	***														
wisteria01	10	13	吧	12	7	7	***														
wisteria01	10	14	，	13		8~~~10	***														
wisteria01	10	15	开	14	6	6	***														
wisteria01	10	16	头	14	7	6	***														
wisteria01	10	17	相	15	8	3	***														
wisteria01	10	18	当	15		3	***														
wisteria01	10	19	怪	16		2	***														
wisteria01	10	20	诞	16		2	***														
wisteria01	10	21	，	17	10	12	***														
wisteria01	10	22	结	18	11	11	***														
wisteria01	10	23	果	18	10	11	***														
wisteria01	10	24	却	19	9	9	***														
wisteria01	10	25	是	20	13	13	***														
wisteria01	10	26	铤	21	14	14	***														
wisteria01	10	27	而	21		14	***														
wisteria01	10	28	走	21		14	***														
wisteria01	10	29	险	21		14	***														
wisteria01	10	30	，	22		16	***														
wisteria01	10	31	企	23	15	15	***														
wisteria01	10	32	图	23	15	15	***														
wisteria01	10	33	抢	24	16~~~17	17	***														
wisteria01	10	34	劫	24	17	17	***														
wisteria01	10	35	。	25	18	18	***														
																					
wisteria01	11	0	还	0	0	4	***														
wisteria01	11	1	有	0	4	4	***														
wisteria01	11	2	，	1	6	6	***														
wisteria01	11	3	‘	2	1	1	***														
wisteria01	11	4	五	3	12	12	***														
wisteria01	11	5	个	4	12	3	***														
wisteria01	11	6	桔	5	13	3	***														
wisteria01	11	7	核	5		3	***														
wisteria01	11	8	'	5		3	***														
wisteria01	11	9	'	5		3	***														
wisteria01	11	10	的	6			***														
wisteria01	11	11	那	7	3		***														
wisteria01	11	12	件	8	9		***														
wisteria01	11	13	事	9	9		***														
wisteria01	11	14	，	10			***														
wisteria01	11	15	也	11		0	***														
wisteria01	11	16	是	12	5	5	***														
wisteria01	11	17	再	13	2	2	***														
wisteria01	11	18	怪	14	8	8~~~9	***														
wisteria01	11	19	诞	14	8	8~~~9	***														
wisteria01	11	20	不	15		15	***														
wisteria01	11	21	过	15		15	***														
wisteria01	11	22	了	16		17	***														
wisteria01	11	23	，	17	16	16	***														
wisteria01	11	24	结	18		17	***														
wisteria01	11	25	果	18		17	***														
wisteria01	11	26	直	19	18	18	***														
wisteria01	11	27	接	19	18	18	***														
wisteria01	11	28	引	20	17	17	***														
wisteria01	11	29	出	20	19	17	***														
wisteria01	11	30	一	21	20	20	***														
wisteria01	11	31	场	22	20		***														
wisteria01	11	32	命	23	21	21~~~22	***														
wisteria01	11	33	案	23		21~~~22	***														
wisteria01	11	34	来	24	15	19	***														
wisteria01	11	35	。	25	23	23	***														
																					
wisteria01	12	0	所	0		3	***														
wisteria01	12	1	以	0		3	***														
wisteria01	12	2	，	1	13		***														
wisteria01	12	3	‘	2	9	9	***														
wisteria01	12	4	怪	3	9	7	***														
wisteria01	12	5	诞	3	7	7	***														
wisteria01	12	6	'	4		5	***														
wisteria01	12	7	'	5			***														
wisteria01	12	8	这	6	2	1	***														
wisteria01	12	9	个	6		1	***														
wisteria01	12	10	词	7	1	1	***														
wisteria01	12	11	总	8	0	12~~~13	***														
wisteria01	12	12	是	8	10	12~~~13	***														
wisteria01	12	13	引	9			***														
wisteria01	12	14	起	9	18		***														
wisteria01	12	15	我	10	16	16~~~17	***														
wisteria01	12	16	警	11	6	6	***														
wisteria01	12	17	惕	11	6	6	***														
wisteria01	12	18	。	12		18	***														
wisteria01	12	19	”	13	14~~~15	14~~~15	***														
																					
wisteria01	13	0	“	0	0	3	***														
wisteria01	13	1	电	1		3	***														
wisteria01	13	2	报	1		3	***														
wisteria01	13	3	里	2		2	***														
wisteria01	13	4	也	3		2	***														
wisteria01	13	5	有	4	2	2	***														
wisteria01	13	6	这	5	2	2	***														
wisteria01	13	7	个	5	2	2	***														
wisteria01	13	8	词	6	1	1~~~3	***														
wisteria01	13	9	吗	7	3	3	***														
wisteria01	13	10	？	8	3	3	***														
wisteria01	13	11	”	9	4~~~5	4~~~5	***														
wisteria01	13	12	我	10	4	4	***														
wisteria01	13	13	问	11		4	***														
wisteria01	13	14	。	12		5	***														
																					
wisteria01	14	0	他	0			***														
wisteria01	14	1	大	1			***														
wisteria01	14	2	声	1			***														
wisteria01	14	3	地	2		2	***														
wisteria01	14	4	读	3	3	2	***														
wisteria01	14	5	起	4	9	3	***														
wisteria01	14	6	电	5		3	***														
wisteria01	14	7	文	5		3	***														
wisteria01	14	8	来	6		3	***														
wisteria01	14	9	。	7		4	***														
wisteria01	14	10	“	8	0~~~1	0~~~1	***														
wisteria01	14	11	适	9		5	***														
wisteria01	14	12	遇	9	8	5	***														
wisteria01	14	13	极	10	4		***														
wisteria01	14	14	难	10	5		***														
wisteria01	14	15	置	11	5		***														
wisteria01	14	16	信	11	5~~~6		***														
wisteria01	14	17	而	12	2		***														
wisteria01	14	18	怪	13	7	7~~~8~~~9	***														
wisteria01	14	19	诞	13	7	7~~~8~~~9	***														
wisteria01	14	20	之	14		7	***														
wisteria01	14	21	事	14		7	***														
wisteria01	14	22	。	15			***														
																					
wisteria01	15	0	可	0		0	***														
wisteria01	15	1	否	0	0	0	***														
wisteria01	15	2	向	1	3	3	***														
wisteria01	15	3	你	2	1~~~3	1~~~3	***														
wisteria01	15	4	求	3	2	2	***														
wisteria01	15	5	教	3		2	***														
wisteria01	15	6	？	4	4	4	***														
																					
wisteria01	16	0	斯	0	0	0~~~1~~~2~~~3	***														
wisteria01	16	1	考	0		0~~~1~~~2~~~3	***														
wisteria01	16	2	持	0		0~~~1~~~2~~~3	***														
wisteria01	16	3	·	0	1	0~~~1~~~2~~~3	***														
wisteria01	16	4	艾	0	2	0~~~1~~~2~~~3	***														
wisteria01	16	5	克	0	2	0~~~1~~~2~~~3	***														
wisteria01	16	6	尔	0	2	0~~~1~~~2~~~3	***														
wisteria01	16	7	斯	0	2~~~3	0~~~1~~~2~~~3	***														
																					
wisteria01	17	0	查	0	4	0~~~1~~~4	***														
wisteria01	17	1	林	0	4	0~~~1~~~4	***														
wisteria01	17	2	十	1	5	2~~~3~~~4~~~5	***														
wisteria01	17	3	字	1	5	2~~~3~~~4~~~5	***														
wisteria01	17	4	街	1	4	2~~~3~~~4~~~5	***														
wisteria01	17	5	邮	2	4	4	***														
wisteria01	17	6	局	2	1	4	***														
wisteria01	17	7	”	3	6~~~7	6~~~7	***														
																					
wisteria01	18	0	“	0	0	0	***														
wisteria01	18	1	男	1	1	1	***														
wisteria01	18	2	的	1		1	***														
wisteria01	18	3	还	2	2	2	***														
wisteria01	18	4	是	2		2	***														
wisteria01	18	5	女	3	3	3	***														
wisteria01	18	6	的	3		3	***														
wisteria01	18	7	，	4			***														
wisteria01	18	8	”	5	4~~~5	4~~~5	***														
wisteria01	18	9	我	6	6	6	***														
wisteria01	18	10	问	7	7	7	***														
wisteria01	18	11	。	8	8	8	***														
																					
wisteria01	19	0	“	0	0~~~1~~~2	0~~~1~~~2	***														
wisteria01	19	1	当	1		6	***														
wisteria01	19	2	然	1		6	***														
wisteria01	19	3	是	2		4~~~5	***														
wisteria01	19	4	男	3	3	3	***														
wisteria01	19	5	的	3	5~~~6	3	***														
wisteria01	19	6	。	4	7	7	***														
																					
wisteria01	20	0	女	0	1	0~~~1	_	女	_												
wisteria01	20	1	的	0		0~~~1	_	的	_												
wisteria01	20	2	是	1	5	2	_	是	_												
wisteria01	20	3	不	2	0		不	_	_												
wisteria01	20	4	会	3		2	_	会	_												
wisteria01	20	5	拍	4		1	_	拍	_												
wisteria01	20	6	这	5	2	2~~~3	_	这	_												
wisteria01	20	7	种	6	3		_	种	_												
wisteria01	20	8	先	7	2	6	_	先	_												
wisteria01	20	9	付	7	2	6	_	付	_												
wisteria01	20	10	回	8	7	5	_	回	_												
wisteria01	20	11	电	9	7	6	_	电	_												
wisteria01	20	12	费	9	6	6	_	费	_												
wisteria01	20	13	的	10	6	5	_	的	_												
wisteria01	20	14	电	11	7	4~~~7	_	电	_												
wisteria01	20	15	报	11	7	4~~~7	_	报	_												
wisteria01	20	16	的	12	6		_	的	_												
wisteria01	20	17	。	13	8	8	_	_	_												
																					
wisteria01	21	0	是	0		1	***														
wisteria01	21	1	女	1	0	0	***														
wisteria01	21	2	的	1		0	***														
wisteria01	21	3	，	2		1	***														
wisteria01	21	4	就	3	1	1	***														
wisteria01	21	5	自	4	3	2	***														
wisteria01	21	6	己	4	2	2	***														
wisteria01	21	7	来	5	3	3	***														
wisteria01	21	8	了	6	2	2	***														
wisteria01	21	9	。	7	4	4	***														
wisteria01	21	10	”	8	5	5	***														
																					
wisteria01	22	0	“	0	0	0	***														
wisteria01	22	1	你	1	1~~~2	2	***														
wisteria01	22	2	见	2	3	3	***														
wisteria01	22	3	他	3	4	4	***														
wisteria01	22	4	吗	4	5	5	***														
wisteria01	22	5	？	5	5	5	***														
wisteria01	22	6	”	6	6	6	***														
																					
wisteria01	23	0	“	0	0	0	***														
wisteria01	23	1	亲	1	2	1~~~2	***														
wisteria01	23	2	爱	1	2	1~~~2	***														
wisteria01	23	3	的	2			***														
wisteria01	23	4	华	3	3	3~~~4	***														
wisteria01	23	5	生	3	3	3~~~4	***														
wisteria01	23	6	，	4	4	3	***														
wisteria01	23	7	自	5		12	***														
wisteria01	23	8	从	5		12	***														
wisteria01	23	9	我	6	1	13	***														
wisteria01	23	10	们	6	13	13	***														
wisteria01	23	11	关	7	14	14	***														
wisteria01	23	12	押	7	14	14	***														
wisteria01	23	13	了	8	7		***														
wisteria01	23	14	卡	9		8	***														
wisteria01	23	15	鲁	9		8	***														
wisteria01	23	16	塞	9		8	***														
wisteria01	23	17	斯	9		8	***														
wisteria01	23	18	上	10	16	16	***														
wisteria01	23	19	校	10	16	16	***														
wisteria01	23	20	以	11	12	10~~~11~~~12	***														
wisteria01	23	21	来	11	10~~~11~~~12	10~~~11~~~12	***														
wisteria01	23	22	，	12		11	***														
wisteria01	23	23	你	13	5	5	***														
wisteria01	23	24	知	14	6	6	***														
wisteria01	23	25	道	14		6	***														
wisteria01	23	26	我	15	9	9	***														
wisteria01	23	27	是	16			***														
wisteria01	23	28	多	17	15	17	***														
wisteria01	23	29	么	17		17	***														
wisteria01	23	30	厌	18	17	17	***														
wisteria01	23	31	烦	18	17~~~18	17	***														
wisteria01	23	32	。	19	18	18	***														
																					
wisteria01	24	0	我	0	0	0	_	_	_												
wisteria01	24	1	的	1			_	_	_												
wisteria01	24	2	脑	2	1	1	_	_	_												
wisteria01	24	3	子	2		1	_	_	_												
wisteria01	24	4	象	3	3	2~~~3	_	_	_												
wisteria01	24	5	一	4	2~~~4	4	_	_	_												
wisteria01	24	6	部	5		7	_	_	_												
wisteria01	24	7	空	6		8	_	_	_												
wisteria01	24	8	转	6	10	8	_	_	_												
wisteria01	24	9	的	7	5		_	_	_												
wisteria01	24	10	引	8	6	6	_	_	_												
wisteria01	24	11	擎	8	6	6	_	_	_												
wisteria01	24	12	那	9	7	9	_	_	_												
wisteria01	24	13	样	9		9	_	_	_												
wisteria01	24	14	，	10		13	_	_	_												
wisteria01	24	15	由	11	12	12	_	_	_												
wisteria01	24	16	于	11	12	12	_	_	_												
wisteria01	24	17	没	12	15	14~~~15	没	_	_												
wisteria01	24	18	有	12	16	14~~~15	有	_	_												
wisteria01	24	19	和	13			_	和	_												
wisteria01	24	20	它	14	13	13	_	它	_												
wisteria01	24	21	所	15		13	_	所	_												
wisteria01	24	22	要	15	14	13	_	要	_												
wisteria01	24	23	制	16	17		_	制	_												
wisteria01	24	24	造	16	25		_	造	_												
wisteria01	24	25	的	17	18~~~19	17~~~18~~~19	_	的	_												
wisteria01	24	26	工	18	20	20	_	工	_												
wisteria01	24	27	件	18		20	_	件	_												
wisteria01	24	28	连	19	16	16	_	连	连												
wisteria01	24	29	接	19	16	16	_	接	接												
wisteria01	24	30	上	20		25	_	上	上												
wisteria01	24	31	而	21	22	21~~~22~~~24	_	_	_												
wisteria01	24	32	散	22	8	25~~~26	_	_	_												
wisteria01	24	33	成	22	24	25~~~26	_	_	_												
wisteria01	24	34	碎	23	11	11	_	_	_												
wisteria01	24	35	片	23	11	11	_	_	_												
wisteria01	24	36	。	24	26		_	_	_												
																					
wisteria01	25	0	生	0	0	0	***														
wisteria01	25	1	活	0	0	0	***														
wisteria01	25	2	平	1	2	2	***														
wisteria01	25	3	淡	1	3	2	***														
wisteria01	25	4	，	2		1	***														
wisteria01	25	5	报	3	5	5	***														
wisteria01	25	6	纸	3		5	***														
wisteria01	25	7	枯	4	7	3~~~7	***														
wisteria01	25	8	燥	4	7	3~~~7	***														
wisteria01	25	9	，	5	6~~~8	4~~~6	***														
wisteria01	25	10	大	6		9	***														
wisteria01	25	11	胆	6	9	9	***														
wisteria01	25	12	和	7	10	10	***														
wisteria01	25	13	浪	8	11	11	***														
wisteria01	25	14	漫	8	11	11	***														
wisteria01	25	15	似	9	12	12	***														
wisteria01	25	16	乎	9	12	12	***														
wisteria01	25	17	已	10	14~~~15	14~~~15	***														
wisteria01	25	18	经	10	14	14~~~15	***														
wisteria01	25	19	永	11	16	16	***														
wisteria01	25	20	远	11	16	16	***														
wisteria01	25	21	在	12	13	13	***														
wisteria01	25	22	这	13	1	20	***														
wisteria01	25	23	个	13		20	***														
wisteria01	25	24	犯	14	19	19	***														
wisteria01	25	25	罪	14	19	19	***														
